forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-11,US,D,lite,0.3698,24.3,24.0,20.0,29.0,1.91,-1.97,5.8
2018-10-11,US,R,lite,0.5109,25.67,26.0,21.0,30.0,-1.91,1.97,-5.8
2018-10-12,US,D,lite,0.3398,24.08,24.0,20.0,28.0,1.73,-2.16,5.59
2018-10-12,US,R,lite,0.5388,25.9,26.0,22.0,30.0,-1.73,2.16,-5.59
2018-10-13,US,D,lite,0.3566,24.2,24.0,20.0,28.0,1.67,-2.23,5.55
2018-10-13,US,R,lite,0.5208,25.78,26.0,22.0,30.0,-1.67,2.23,-5.55
2018-10-16,US,D,lite,0.3578,24.19,24.0,20.0,28.0,1.78,-2.09,5.64
2018-10-16,US,R,lite,0.515,25.78,26.0,22.0,30.0,-1.78,2.09,-5.64
2018-10-17,US,D,lite,0.3428,24.1,24.0,20.0,28.0,1.83,-2.02,5.7
2018-10-17,US,R,lite,0.5337,25.87,26.0,22.0,30.0,-1.83,2.02,-5.7
2018-10-18,US,D,lite,0.3441,24.11,24.0,20.0,28.0,1.86,-1.97,5.69
2018-10-18,US,R,lite,0.5303,25.86,26.0,22.0,30.0,-1.86,1.97,-5.69
2018-10-19,US,D,lite,0.388,24.42,25.0,20.0,29.0,1.93,-1.89,5.73
2018-10-19,US,R,lite,0.4975,25.58,25.0,21.0,30.0,-1.93,1.89,-5.73
2018-10-20,US,D,lite,0.3838,24.43,25.0,20.0,29.0,1.98,-1.83,5.77
2018-10-20,US,R,lite,0.4963,25.57,25.0,21.0,30.0,-1.98,1.83,-5.77
2018-10-21,US,D,lite,0.4031,24.56,25.0,20.0,29.0,2.11,-1.68,5.91
2018-10-21,US,R,lite,0.4764,25.44,25.0,21.0,30.0,-2.11,1.68,-5.91
2018-10-22,US,D,lite,0.42,24.73,25.0,21.0,29.0,2.52,-1.26,6.33
2018-10-22,US,R,lite,0.4606,25.27,25.0,21.0,29.0,-2.52,1.26,-6.33
2018-10-23,US,D,lite,0.4073,24.62,25.0,20.0,29.0,2.43,-1.38,6.21
2018-10-23,US,R,lite,0.4717,25.38,25.0,21.0,30.0,-2.43,1.38,-6.21
2018-10-24,US,D,lite,0.3802,24.4,25.0,20.0,29.0,2.34,-1.41,6.13
2018-10-24,US,R,lite,0.4992,25.6,25.0,21.0,30.0,-2.34,1.41,-6.13
2018-10-25,US,D,lite,0.3786,24.38,25.0,20.0,28.0,2.12,-1.61,5.88
2018-10-25,US,R,lite,0.4997,25.62,25.0,22.0,30.0,-2.12,1.61,-5.88
2018-10-26,US,D,lite,0.3803,24.39,25.0,20.0,28.0,2.09,-1.62,5.82
2018-10-26,US,R,lite,0.4998,25.61,25.0,22.0,30.0,-2.09,1.62,-5.82
2018-10-27,US,D,lite,0.3737,24.36,24.0,20.0,28.0,2.06,-1.67,5.81
2018-10-27,US,R,lite,0.5058,25.64,26.0,22.0,30.0,-2.06,1.67,-5.81
2018-10-28,US,D,lite,0.3831,24.43,25.0,20.0,29.0,2.08,-1.6,5.8
2018-10-28,US,R,lite,0.4965,25.57,25.0,21.0,30.0,-2.08,1.6,-5.8
2018-10-29,US,D,lite,0.4022,24.6,25.0,20.0,29.0,2.13,-1.58,5.87
2018-10-29,US,R,lite,0.4751,25.4,25.0,21.0,30.0,-2.13,1.58,-5.87
2018-10-30,US,D,lite,0.4021,24.58,25.0,20.0,29.0,2.19,-1.54,5.88
2018-10-30,US,R,lite,0.4755,25.42,25.0,21.0,30.0,-2.19,1.54,-5.88
2018-10-31,US,D,lite,0.4071,24.61,25.0,20.0,29.0,2.11,-1.6,5.78
2018-10-31,US,R,lite,0.4711,25.39,25.0,21.0,30.0,-2.11,1.6,-5.78
2018-11-01,US,D,lite,0.4058,24.55,25.0,20.0,29.0,2.25,-1.4,5.95
2018-11-01,US,R,lite,0.4738,25.45,25.0,21.0,30.0,-2.25,1.4,-5.95
2018-11-02,US,D,lite,0.3838,24.41,25.0,20.0,29.0,2.44,-1.23,6.11
2018-11-02,US,R,lite,0.4984,25.59,25.0,21.0,30.0,-2.44,1.23,-6.11
2018-11-03,US,D,lite,0.4091,24.58,25.0,20.0,29.0,2.5,-1.16,6.09
2018-11-03,US,R,lite,0.4748,25.42,25.0,21.0,30.0,-2.5,1.16,-6.09
2018-11-04,US,D,lite,0.3906,24.44,25.0,20.0,29.0,2.1,-1.54,5.71
2018-11-04,US,R,lite,0.4927,25.56,25.0,21.0,30.0,-2.1,1.54,-5.71
2018-11-05,US,D,lite,0.4303,24.72,25.0,20.0,29.0,1.89,-1.69,5.51
2018-11-05,US,R,lite,0.4514,25.28,25.0,21.0,30.0,-1.89,1.69,-5.51
2018-11-06,US,D,lite,0.4331,24.73,25.0,20.0,29.0,1.92,-1.7,5.5
2018-11-06,US,R,lite,0.4498,25.27,25.0,21.0,30.0,-1.92,1.7,-5.5
