name,league,rank,prev_rank,off,def,spi
Kasimpasa,Turkish Turkcell Super Lig,237,244,1.4,1.6,42.6
Frosinone,Italy Serie B,238,280,1.3,1.5,42.5
Atlético Tucumán,Argentina Primera Division,239,237,1.1,1.2,42.4
BATE Borisov,UEFA Europa League,240,239,1.3,1.4,42.3
Tijuana,Mexican Primera Division Torneo Apertura,241,241,1.1,1.2,42.3
Sivasspor,Turkish Turkcell Super Lig,242,234,1.3,1.4,42.2
New York Red Bulls,Major League Soccer,243,243,1.3,1.4,42.1
Verona,Italy Serie A,244,219,1.2,1.4,42
Morelia,Mexican Primera Division Torneo Apertura,245,245,1.2,1.4,42
Genclerbirligi,Turkish Turkcell Super Lig,246,283,1.2,1.3,41.9
Argentinos Juniors,Argentina Primera Division,247,247,1.1,1.2,41.8
FC Zurich,Swiss Raiffeisen Super League,248,248,1.2,1.4,41.7
FC Utrecht,Dutch Eredivisie,249,246,1.5,1.7,41.7
San Martin San Juan,Argentina Primera Division,250,250,1,1.2,41.7
Akhisar Belediye,Turkish Turkcell Super Lig,251,256,1.3,1.5,41.7
Molde,Norwegian Tippeligaen,252,251,1.3,1.5,41.6
Portimonense,Portuguese Liga,253,273,1.2,1.4,41.4
SV Darmstadt 98,German 2. Bundesliga,254,254,1.3,1.5,41.4
Boavista,Portuguese Liga,255,242,1,1.1,41.4
Club América,Mexican Primera Division Torneo Apertura,256,259,1.1,1.3,41.3
Lanus,Argentina Primera Division,257,255,1.1,1.2,41.3
NK Maribor,UEFA Champions League,258,257,1.4,1.7,41.2
1. FC Union Berlin,German 2. Bundesliga,259,258,1.4,1.6,41.2
Benevento,Italy Serie A,260,240,1.2,1.4,41.2
Thun,Swiss Raiffeisen Super League,261,260,1.5,1.7,41.1
Newell's Old Boys,Argentina Primera Division,262,262,1,1.2,41
Tenerife,Spanish Segunda Division,263,212,1.2,1.4,40.9
Pacos Ferreira,Portuguese Liga,264,284,1.2,1.4,40.8
Stromsgodset,Norwegian Tippeligaen,265,265,1.4,1.6,40.8
Guadalajara,Mexican Primera Division Torneo Apertura,266,282,1.2,1.4,40.7
FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,267,266,1.4,1.7,40.6
FC Lugano,Swiss Raiffeisen Super League,268,267,1.2,1.4,40.6
Atlético Goianiense,Brasileiro Série A,269,268,1.1,1.3,40.6
Puebla,Mexican Primera Division Torneo Apertura,270,288,1.1,1.2,40.6
Alanyaspor,Turkish Turkcell Super Lig,271,263,1.6,1.8,40.5
Bristol City,English League Championship,272,277,1.2,1.4,40.4
Eintracht Braunschweig,German 2. Bundesliga,273,271,1.1,1.3,40.4
Zlín,UEFA Europa League,274,272,1.1,1.3,40.3
FK Qarabag,UEFA Champions League,275,274,1.2,1.4,40.3
FC Groningen,Dutch Eredivisie,276,270,1.5,1.8,40.3
IFK Norrkoping,Swedish Allsvenskan,277,276,1.3,1.6,40.2
AD Alcorcon,Spanish Segunda Division,278,302,1,1.2,40
Tigre,Argentina Primera Division,279,278,1.1,1.3,40
Preston North End,English League Championship,280,249,1.1,1.3,40
AC Ajaccio,French Ligue 2,281,261,1.2,1.4,39.9
Brest,French Ligue 2,282,269,1.2,1.4,39.9
Rangers,Scottish Premiership,283,279,1.3,1.6,39.8
Konyaspor,Turkish Turkcell Super Lig,284,286,1,1.2,39.7
Arminia Bielefeld,German 2. Bundesliga,285,281,1.4,1.6,39.6
Clermont Foot,French Ligue 2,286,330,1,1.2,39.5
Maritimo,Portuguese Liga,287,275,1,1.2,39.4
SV Mattersburg,Austrian T-Mobile Bundesliga,288,285,1.3,1.6,39.3
Belenenses,Portuguese Liga,289,287,1,1.2,39.2
FC Luzern,Swiss Raiffeisen Super League,290,289,1.4,1.7,39.1
Atlanta United FC,Major League Soccer,291,290,1.2,1.5,39.1
Ponte Preta,Brasileiro Série A,292,292,1.1,1.3,38.9
FC Sheriff Tiraspol,UEFA Europa League,293,293,1.1,1.4,38.9
Real Zaragoza,Spanish Segunda Division,294,291,1.1,1.3,38.9
Millwall,English League Championship,295,312,1.2,1.5,38.9
Dynamo Dresden,German 2. Bundesliga,296,294,1.2,1.5,38.9
VfL Bochum,German 2. Bundesliga,297,296,1.1,1.4,38.8
Estoril Praia,Portuguese Liga,298,298,1.1,1.4,38.6
MSV Duisburg,German 2. Bundesliga,299,299,1.2,1.5,38.6
Paris FC,French Ligue 2,300,311,0.9,1.2,38.5
Avaí,Brasileiro Série A,301,301,1.1,1.4,38.5
Gimnástic Tarragona,Spanish Segunda Division,302,305,1.2,1.5,38.4
Tondela,Portuguese Liga,303,304,1.2,1.5,38.4
Pumas Unam,Mexican Primera Division Torneo Apertura,304,316,1.1,1.4,38.3
Atlas,Mexican Primera Division Torneo Apertura,305,264,1.2,1.5,38.3
Olimpo,Argentina Primera Division,306,303,1,1.3,38.3
Necaxa,Mexican Primera Division Torneo Apertura,307,295,1,1.3,38.2
PEC Zwolle,Dutch Eredivisie,308,307,1.2,1.5,38.2
Portland Timbers,Major League Soccer,309,306,1.3,1.6,38.1
Yeni Malatyaspor,Turkish Turkcell Super Lig,310,313,1,1.3,37.8
SV Sandhausen,German 2. Bundesliga,311,308,1.1,1.4,37.8
New York City FC,Major League Soccer,312,309,1.3,1.6,37.7
SK Brann,Norwegian Tippeligaen,313,310,1.3,1.7,37.7
Sarpsborg,Norwegian Tippeligaen,314,314,1.3,1.7,37.6
Norwich City,English League Championship,315,297,1.1,1.4,37.5
Fortuna Düsseldorf,German 2. Bundesliga,316,315,1.1,1.5,37.4
Cittadella,Italy Serie B,317,329,1.1,1.5,37.4
Apollon Limassol,UEFA Europa League,318,318,1.1,1.4,37.2
FC Tosno,Russian Premier Liga,319,320,1.2,1.6,37.1
Feirense,Portuguese Liga,320,319,1,1.3,37.1
Spezia,Italy Serie B,321,317,0.8,1,37
Arsenal Sarandi,Argentina Primera Division,322,322,1,1.3,37
Hull City,English League Championship,323,323,1.1,1.5,36.9
Almeria,Spanish Segunda Division,324,325,1,1.3,36.9
Leeds United,English League Championship,325,300,1.1,1.5,36.8
SpVgg Greuther Fürth,German 2. Bundesliga,326,326,1.1,1.5,36.8
Aberdeen,Scottish Premiership,327,328,1.1,1.5,36.7
Antalyaspor,Turkish Turkcell Super Lig,328,331,1.2,1.6,36.6
FC Barcelona II,Spanish Segunda Division,329,360,1.2,1.6,36.5
Ankaraspor,Turkish Turkcell Super Lig,330,324,1.2,1.6,36.5
Temperley,Argentina Primera Division,331,332,1,1.3,36.5
Jahn Regensburg,German 2. Bundesliga,332,333,1.2,1.7,36.4
Bari,Italy Serie B,333,334,1,1.4,36.4
Lobos de la BUAP,Mexican Primera Division Torneo Apertura,334,321,1.3,1.7,36.3
Cordoba,Spanish Segunda Division,335,341,1.3,1.7,36.3
Moreirense,Portuguese Liga,336,337,1,1.4,36.1
IFK Goteborg,Swedish Allsvenskan,337,335,1.2,1.6,36
Sporting Kansas City,Major League Soccer,338,336,0.9,1.3,36
FC Sion,Swiss Raiffeisen Super League,339,338,1.3,1.7,35.9
ADO Den Haag,Dutch Eredivisie,340,327,1.3,1.8,35.9
Heerenveen,Dutch Eredivisie,341,351,1.3,1.8,35.7
Sheffield Wednesday,English League Championship,342,345,1,1.4,35.6
Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,343,339,1.1,1.5,35.6
Vardar,UEFA Europa League,344,342,1.2,1.7,35.4
LASK Linz,Austrian T-Mobile Bundesliga,345,344,1,1.5,35.4
FC Twente,Dutch Eredivisie,346,340,1.3,1.8,35.3
Valerenga,Norwegian Tippeligaen,347,346,1.4,1.9,35.2
Albacete,Spanish Segunda Division,348,343,1,1.4,35.1
Patronato,Argentina Primera Division,349,347,1,1.4,35
1. FC Heidenheim 1846,German 2. Bundesliga,350,349,1.2,1.7,34.9
