president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,12/7/2017,39.37215,44.43501,34.3093,55.45115,60.17642,50.72587,23:10:31  7 Dec 2017
Donald Trump,Adults,12/7/2017,36.42162,40.21066,32.63258,57.0158,62.0655,51.96611,23:10:25  7 Dec 2017
Donald Trump,All polls,12/7/2017,37.27071,41.92155,32.61987,56.42054,61.28671,51.55438,23:10:19  7 Dec 2017
Donald Trump,Adults,12/6/2017,37.17609,40.67321,33.67897,56.25414,61.24754,51.26074,17:13:24  6 Dec 2017
Donald Trump,Voters,12/6/2017,40.18172,44.876,35.48743,54.5077,58.80473,50.21067,17:13:29  6 Dec 2017
Donald Trump,All polls,12/6/2017,37.84785,42.35403,33.34167,55.80183,60.53749,51.06617,17:13:18  6 Dec 2017
Donald Trump,Voters,12/5/2017,39.69933,44.27053,35.12812,54.95476,58.91797,50.99154,15:43:29  5 Dec 2017
Donald Trump,Adults,12/5/2017,37.34743,41.00904,33.68581,56.66071,61.26614,52.05529,15:43:23  5 Dec 2017
Donald Trump,All polls,12/5/2017,37.90712,42.27509,33.53914,56.05267,60.41055,51.69479,15:43:17  5 Dec 2017
Donald Trump,Adults,12/4/2017,36.96822,40.55458,33.38185,56.90294,61.66179,52.1441,13:11:23  4 Dec 2017
Donald Trump,Voters,12/4/2017,39.90506,43.90241,35.90772,55.0077,59.20808,50.80733,13:11:28  4 Dec 2017
Donald Trump,All polls,12/4/2017,37.86093,42.2491,33.47276,56.09463,60.70168,51.48758,13:11:17  4 Dec 2017
Donald Trump,Adults,12/3/2017,36.93871,40.54438,33.33304,56.9087,61.67534,52.14207,13:17:21  3 Dec 2017
Donald Trump,Voters,12/3/2017,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,13:17:27  3 Dec 2017
Donald Trump,All polls,12/3/2017,37.89624,42.34225,33.45023,56.08004,60.71577,51.44431,13:17:16  3 Dec 2017
Donald Trump,Voters,12/2/2017,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,13:05:31  2 Dec 2017
Donald Trump,Adults,12/2/2017,36.94333,40.54791,33.33874,56.88067,61.63329,52.12805,13:05:25  2 Dec 2017
Donald Trump,All polls,12/2/2017,37.90633,42.34116,33.47151,56.05219,60.66449,51.43988,13:05:19  2 Dec 2017
Donald Trump,Adults,12/1/2017,37.08066,40.51703,33.64429,56.67411,61.24419,52.10403,15:48:23  1 Dec 2017
Donald Trump,Voters,12/1/2017,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,15:48:28  1 Dec 2017
Donald Trump,All polls,12/1/2017,38.00967,42.33422,33.68511,55.9007,60.35528,51.44611,15:48:17  1 Dec 2017
Donald Trump,Adults,11/30/2017,37.37271,40.76131,33.98411,56.45746,61.06138,51.85354,17:11:22 30 Nov 2017
Donald Trump,Voters,11/30/2017,40.03595,44.06927,36.00263,54.90004,59.12446,50.67563,17:11:28 30 Nov 2017
Donald Trump,All polls,11/30/2017,38.16322,42.35735,33.96909,55.75873,60.2225,51.29496,17:11:17 30 Nov 2017
Donald Trump,Voters,11/29/2017,40.27305,44.39616,36.14995,54.68724,58.86496,50.50953,14:08:26 29 Nov 2017
Donald Trump,Adults,11/29/2017,37.72719,41.0411,34.41329,56.1861,60.68507,51.68713,14:08:21 29 Nov 2017
Donald Trump,All polls,11/29/2017,38.42575,42.58271,34.2688,55.55772,59.93708,51.17836,14:08:15 29 Nov 2017
Donald Trump,Voters,11/28/2017,39.71597,44.08185,35.35008,55.04973,59.42147,50.67798,14:44:27 28 Nov 2017
Donald Trump,Adults,11/28/2017,37.3322,40.77054,33.89386,56.39901,61.09468,51.70334,14:44:22 28 Nov 2017
Donald Trump,All polls,11/28/2017,38.24538,42.61953,33.87123,55.60558,60.14755,51.0636,14:44:16 28 Nov 2017
Donald Trump,Adults,11/27/2017,37.45752,40.94758,33.96746,56.33474,61.08239,51.58708,13:03:23 27 Nov 2017
Donald Trump,Voters,11/27/2017,40.05172,44.42881,35.67463,54.71221,58.98969,50.43472,13:03:28 27 Nov 2017
Donald Trump,All polls,11/27/2017,38.3837,42.81887,33.94852,55.51948,60.09151,50.94745,13:03:17 27 Nov 2017
Donald Trump,Voters,11/26/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,13:05:28 26 Nov 2017
