"","subgroup","modeldate","dem_estimate","dem_hi","dem_lo","rep_estimate","rep_hi","rep_lo","timestamp"
"132","All polls","12/3/2017",45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,"18:00:09  3 Dec 2017"
"133","Voters","12/2/2017",45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,"18:00:11  2 Dec 2017"
"134","Adults","12/2/2017",40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,"18:00:10  2 Dec 2017"
"135","All polls","12/2/2017",45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,"18:00:09  2 Dec 2017"
"136","Adults","12/1/2017",40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,"16:21:08  1 Dec 2017"
"137","Voters","12/1/2017",45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,"16:21:09  1 Dec 2017"
"138","All polls","12/1/2017",45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,"16:21:07  1 Dec 2017"
"139","Voters","11/30/2017",45.91176,51.71432,40.1092,38.03933,42.56534,33.51333,"18:00:13 30 Nov 2017"
"140","Adults","11/30/2017",40.48259,46.66079,34.3044,33.48915,38.80286,28.17543,"18:00:11 30 Nov 2017"
"141","All polls","11/30/2017",45.93464,51.72166,40.14762,38.12389,42.65174,33.59604,"18:00:11 30 Nov 2017"
"142","Adults","11/29/2017",40.48259,46.66079,34.3044,33.48915,38.80286,28.17543,"14:09:07 29 Nov 2017"
"143","Voters","11/29/2017",45.91176,51.71432,40.1092,38.03933,42.56534,33.51333,"14:09:08 29 Nov 2017"
"144","All polls","11/29/2017",45.93464,51.72166,40.14762,38.12389,42.65174,33.59604,"14:09:06 29 Nov 2017"
"145","Adults","11/28/2017",41.45461,47.87068,35.03854,32.39157,38.0916,26.69154,"14:51:07 28 Nov 2017"
"146","Voters","11/28/2017",46.56831,52.28759,40.84903,37.2389,41.9704,32.5074,"14:51:08 28 Nov 2017"
"147","All polls","11/28/2017",46.58801,52.29243,40.88358,37.33114,42.06528,32.597,"14:51:06 28 Nov 2017"
"148","Voters","11/27/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"18:00:14 27 Nov 2017"
"149","Adults","11/27/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"18:00:13 27 Nov 2017"
"150","All polls","11/27/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"18:00:12 27 Nov 2017"
"151","Voters","11/26/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"18:00:12 26 Nov 2017"
"152","Adults","11/26/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"18:00:11 26 Nov 2017"
"153","All polls","11/26/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"18:00:10 26 Nov 2017"
"154","Voters","11/25/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"18:00:14 25 Nov 2017"
"155","Adults","11/25/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"18:00:12 25 Nov 2017"
"156","All polls","11/25/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"18:00:11 25 Nov 2017"
"157","Voters","11/24/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"18:00:12 24 Nov 2017"
"158","Adults","11/24/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"18:00:11 24 Nov 2017"
"159","All polls","11/24/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"18:00:10 24 Nov 2017"
"160","Voters","11/23/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"18:00:12 23 Nov 2017"
"161","Adults","11/23/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"18:00:10 23 Nov 2017"
"162","All polls","11/23/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"18:00:10 23 Nov 2017"
"163","Voters","11/22/2017",46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,"12:01:09 22 Nov 2017"
"164","Adults","11/22/2017",42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,"12:01:07 22 Nov 2017"
"165","All polls","11/22/2017",46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,"12:01:07 22 Nov 2017"
"166","Voters","11/21/2017",46.75207,52.51483,40.98932,38.70193,43.22048,34.18337,"12:41:08 21 Nov 2017"
"167","Adults","11/21/2017",42.33366,49.11651,35.55081,34.52193,40.33319,28.71066,"12:41:07 21 Nov 2017"
"168","All polls","11/21/2017",46.77758,52.52421,41.03094,38.75728,43.28059,34.23398,"12:41:06 21 Nov 2017"
"169","Voters","11/20/2017",48.0835,54.01891,42.14809,37.66574,42.14154,33.18993,"14:33:08 20 Nov 2017"
"170","Adults","11/20/2017",42.33366,49.11651,35.55081,34.52193,40.33319,28.71066,"14:33:07 20 Nov 2017"
"171","All polls","11/20/2017",48.09614,54.01543,42.17685,37.74938,42.23086,33.2679,"14:33:06 20 Nov 2017"
"172","Voters","11/19/2017",48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,"18:00:12 19 Nov 2017"
"173","Adults","11/19/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"18:00:11 19 Nov 2017"
"174","All polls","11/19/2017",48.33765,54.2643,42.411,37.29528,41.87936,32.71121,"18:00:10 19 Nov 2017"
"175","Adults","11/18/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"18:00:10 18 Nov 2017"
"176","Voters","11/18/2017",48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,"18:00:11 18 Nov 2017"
"177","All polls","11/18/2017",48.33765,54.2643,42.411,37.29528,41.87936,32.71121,"18:00:10 18 Nov 2017"
"178","Voters","11/17/2017",48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,"18:00:12 17 Nov 2017"
"179","Adults","11/17/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"18:00:11 17 Nov 2017"
"180","All polls","11/17/2017",48.33765,54.2643,42.411,37.29528,41.87936,32.71121,"18:00:11 17 Nov 2017"
"181","Voters","11/16/2017",48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,"15:46:09 16 Nov 2017"
"182","Adults","11/16/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"15:46:07 16 Nov 2017"
"183","All polls","11/16/2017",48.33765,54.2643,42.411,37.29528,41.87936,32.71121,"15:46:07 16 Nov 2017"
"184","Voters","11/15/2017",48.37262,54.45415,42.2911,37.11549,41.71094,32.52005,"15:04:08 15 Nov 2017"
"185","Adults","11/15/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"15:04:07 15 Nov 2017"
"186","All polls","11/15/2017",48.38566,54.44902,42.3223,37.20691,41.80945,32.60437,"15:04:07 15 Nov 2017"
"187","Adults","11/14/2017",43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,"15:07:08 14 Nov 2017"
"188","Voters","11/14/2017",48.48707,54.66044,42.3137,37.12866,41.78582,32.47151,"15:07:09 14 Nov 2017"
"189","All polls","11/14/2017",48.49412,54.64724,42.341,37.22258,41.88878,32.55638,"15:07:07 14 Nov 2017"
"190","Voters","11/13/2017",46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,"18:00:12 13 Nov 2017"
"191","Adults","11/13/2017",43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,"18:00:11 13 Nov 2017"
"192","All polls","11/13/2017",46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,"18:00:11 13 Nov 2017"
"193","Adults","11/12/2017",43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,"18:00:11 12 Nov 2017"
"194","Voters","11/12/2017",46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,"18:00:12 12 Nov 2017"
"195","All polls","11/12/2017",46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,"18:00:10 12 Nov 2017"
"196","Adults","11/11/2017",43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,"18:00:12 11 Nov 2017"
"197","Voters","11/11/2017",46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,"18:00:13 11 Nov 2017"
"198","All polls","11/11/2017",46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,"18:00:11 11 Nov 2017"
"199","Voters","11/10/2017",46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,"18:00:12 10 Nov 2017"
"200","Adults","11/10/2017",43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,"18:00:11 10 Nov 2017"
"201","All polls","11/10/2017",46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,"18:00:10 10 Nov 2017"
"202","All polls","11/9/2017",46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,"15:20:09  9 Nov 2017"
"203","Adults","11/9/2017",43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,"15:20:10  9 Nov 2017"
"204","Voters","11/9/2017",46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,"15:20:11  9 Nov 2017"
"205","Voters","11/8/2017",47.53682,53.63612,41.43751,37.78749,42.84137,32.7336,"15:29:08  8 Nov 2017"
"206","Adults","11/8/2017",44.38585,51.48385,37.28785,33.81781,40.14598,27.48964,"15:29:07  8 Nov 2017"
