date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1920-12-12,1920,0,,CHI,AKR,1566.206,1645.856,0.4789294414332902,0.5210705585667098,1566.849,1645.214,0,0
1920-12-18,1920,0,,RIC,CBD,1300.0,1506.055,0.30746918791562805,0.692530812084372,1278.682,1527.373,0,39
1920-12-19,1920,0,,CST,ARI,1300.0,1508.607,0.3043499918961562,0.6956500081038438,1305.967,1502.64,14,14
1921-09-25,1921,0,,AKR,COL,1598.476,1444.042,0.7795702305735632,0.22042976942643677,1609.332,1433.186,14,0
1921-10-02,1921,0,,BFF,HAM,1550.424,1411.544,0.7638000993823642,0.23619990061763585,1562.92,1399.048,17,0
1921-10-02,1921,0,,ARI,MNN,1503.427,1504.688,0.5907123998506881,0.40928760014931187,1527.647,1480.468,20,0
1921-10-02,1921,0,,ECG,LOU,1300.0,1413.889,0.4301037895945261,0.5698962104054739,1336.032,1377.857,21,0
1921-10-02,1921,0,,AKR,CCL,1609.332,1502.63,0.728771018358994,0.27122898164100595,1628.139,1483.823,41,0
1921-10-02,1921,0,,DAY,COL,1530.29,1433.186,0.7177130305917288,0.28228696940827125,1548.174,1415.301,42,13
1921-10-02,1921,0,,RII,DTI,1507.161,1300.0,0.8273104657062538,0.17268953429374623,1497.179,1309.982,0,0
1921-10-09,1921,0,,ARI,AKR,1527.647,1628.139,0.44909983895731026,0.5509001610426898,1499.555,1656.231,0,23
1921-10-09,1921,0,,ECG,MUN,1336.032,1469.651,0.4025135809267792,0.5974864190732208,1369.434,1436.249,14,0
1921-10-09,1921,0,,CBD,HAM,1519.915,1399.048,0.7445848318411796,0.25541516815882037,1512.456,1406.508,7,7
1921-10-09,1921,0,,DTI,DAY,1309.982,1548.174,0.2695369239816663,0.7304630760183337,1331.966,1526.191,10,7
1921-10-09,1921,0,,BFF,COL,1562.92,1415.301,0.7727550050827636,0.22724499491723638,1578.103,1400.118,38,0
1921-10-10,1921,0,,CHI,RII,1546.233,1497.179,0.6584844289155444,0.3415155710844556,1556.684,1486.728,14,10
1921-10-16,1921,0,,ARI,RII,1499.555,1486.728,0.6101655673915589,0.3898344326084411,1473.248,1513.034,7,14
1921-10-16,1921,0,,CHI,RCH,1556.684,1463.244,0.7134202815973444,0.2865797184026556,1564.096,1455.832,16,13
1921-10-16,1921,0,,BFF,NG1,1578.103,1300.0,0.8781535300894766,0.12184646991052339,1586.589,1291.514,55,0
1921-10-16,1921,0,,ECG,HAM,1369.434,1406.508,0.5401024206322547,0.45989757936774533,1354.267,1421.675,0,3
1921-10-16,1921,0,,CTI,COL,1457.27,1400.118,0.6688887730334149,0.3311112269665851,1477.948,1379.44,35,9
1921-10-16,1921,0,,MUN,CCL,1436.249,1483.823,0.5250570220154723,0.47494297798452767,1407.584,1512.487,0,14
1921-10-16,1921,0,,DTI,AKR,1331.966,1656.231,0.1835543839176582,0.8164456160823418,1321.967,1666.229,0,20
1921-10-16,1921,0,,DAY,CBD,1526.191,1512.456,0.611408130473334,0.388591869526666,1522.793,1515.853,14,14
1921-10-23,1921,0,,BFF,RCH,1586.589,1455.832,0.755260413464833,0.24473958653516703,1601.725,1440.697,28,0
1921-10-23,1921,0,,CBD,AKR,1515.853,1666.229,0.37954880335133057,0.6204511966486694,1505.723,1676.36,0,3
1921-10-23,1921,0,,CTI,CCL,1477.948,1512.487,0.5437249267832118,0.4562750732167882,1508.256,1482.179,28,0
1921-10-23,1921,0,,ARI,COL,1473.248,1379.44,0.7138531919329767,0.2861468080670233,1486.511,1366.177,17,6
1921-10-23,1921,0,,CHI,DAY,1564.096,1522.793,0.6483807661691039,0.3516192338308961,1578.045,1508.844,7,0
1921-10-23,1921,0,,GB,MNN,1413.889,1480.468,0.49772765198110225,0.5022723480188978,1420.857,1473.5,7,6
1921-10-23,1921,0,,DTI,RII,1321.967,1513.034,0.3261390439617119,0.6738609560382881,1305.261,1529.741,0,14
1921-10-30,1921,0,,BFF,DTI,1601.725,1305.261,0.8890184527094621,0.11098154729053789,1607.617,1299.368,21,0
1921-10-30,1921,0,,DAY,CTI,1508.844,1508.256,0.5932832340668743,0.40671676593312567,1514.319,1502.781,3,2
1921-10-30,1921,0,,GB,RII,1420.857,1529.741,0.4371795672057785,0.5628204327942214,1400.301,1550.297,3,13
1921-10-30,1921,0,,MNN,COL,1473.5,1366.177,0.7294770416045998,0.2705229583954002,1490.395,1349.282,28,0
1921-10-30,1921,0,,AKR,RCH,1676.36,1440.697,0.8495090128802689,0.15049098711973108,1684.292,1432.764,19,0
1921-11-06,1921,0,,CHI,DTI,1578.045,1299.368,0.8785066386826075,0.12149336131739252,1583.267,1294.146,20,9
1921-11-06,1921,0,,BFF,CTI,1607.617,1502.781,0.7266425908287979,0.2733574091712021,1615.786,1494.613,10,6
1921-11-06,1921,0,,RII,MNN,1550.297,1490.395,0.6723853862786576,0.3276146137213424,1565.704,1474.988,14,3
